Age_Bracket,No_Education_-_Male,Primary_-_Male,Secondary_-_Male,Tertiary_-_Male,No_Education_-_Female,Primary_-_Female,Secondary_-_Female,Tertiary_-_Female,OBJECTID
100+,-0.01183475,-0.002090838,-6.09e-05,-1.35e-05,0.049562534,0.000437356,3.99e-08,6.99e-08,0
95-99,-0.224509214,-0.053139901,-0.001941857,-0.000409028,0.607912878,0.00908258,1.92e-06,2.62e-06,1
90-94,-1.949874238,-0.616242703,-0.028248139,-0.005634921,3.861245484,0.097657097,4.73e-05,5.01e-05,2
85-89,-8.466433725,-3.558433447,-0.204500203,-0.038632625,14.69098741,0.628760531,0.000687084,0.000564976,3
80-84,-22.24219827,-12.37338624,-0.891009283,-0.159406205,38.65607656,2.797802195,0.006783804,0.004337443,4
75-79,-39.41554251,-28.86165963,-2.602808833,-0.440989025,70.10569195,8.56936296,0.045382498,0.022562596,5
70-74,-56.27801257,-53.89506246,-6.083766046,-0.976158926,107.803064,22.19834996,0.252842001,0.097743998,6
65-69,-68.79059659,-85.52922664,-12.07876662,-1.835410156,138.917069,47.95326108,1.157678158,0.34799174,7
60-64,-70.08347909,-89.52860629,-26.12938968,-13.36852495,165.9258836,55.23378543,1.571693037,1.122637883,8
55-59,-43.10095932,-127.1715121,-44.75868865,-18.47183974,151.0235636,91.71154125,6.793447557,6.793447557,9
50-54,-60.62890448,-172.2412061,-69.24096474,-40.64892468,152.5819575,178.5133737,25.93141657,13.90525215,10
45-49,-70.43101798,-214.6698842,-125.9075052,-67.53659262,172.0646893,236.3298143,80.33140625,25.39508957,11
40-44,-71.39704541,-279.4858696,-191.0023516,-65.2947334,165.2708486,286.8124453,138.9046821,50.160024,12
35-39,-63.80180771,-353.6003821,-252.1324461,-95.31836414,117.5256127,413.338379,205.4699488,58.36305946,13
30-34,-55.57433428,-475.2563759,-314.2824421,-112.1068467,127.3216077,538.6683416,231.1376888,77.37236188,14
25-29,-71.6637172,-663.5071723,-360.7897473,-134.6783645,127.6361126,718.7276232,275.0991936,114.0050706,15
20-24,-79.38093398,-851.399434,-498.0764514,-115.1801791,125.3298883,902.065736,417.7662923,99.02608492,16
15-19,-108.1038252,-1420.522205,-356.5529701,0,146.1766845,1319.338283,406.6710326,0,17
